Pubchem ID,Chi2v,MaxAbsPartialCharge,MolLogP,BCUT2D_MRHI,Kappa3,SMR_VSA5,TPSA,PEOE_VSA7,VSA_EState4,SlogP_VSA6,BCUT2D_MRLOW,Binding Energy,EState_VSA4
7461,-0.817075897,-3.099596842,0.708019484,-1.560613596,-0.820612646,-0.382025773,-1.643841972,-0.292423408,1.443196571,-0.351047987,4.565151256,1.043650377,-0.609842643
7462,-0.812397979,-3.156637927,0.708019484,-1.503066871,-0.820612646,-0.382025773,-1.643841972,-0.292423408,1.443196571,-0.351047987,4.406630574,1.164434203,-0.609842643
7531,-0.794197252,-0.954272857,0.182481575,-1.678207158,-0.537892421,-0.570692328,-1.320383623,-0.568281534,-0.037821812,-0.015975124,1.391720815,0.874749763,-0.980864141
7590,-1.074096596,-0.42923251,0.099047564,-0.333458779,-0.624564994,-0.875852289,-1.223330129,-0.872787173,0.202565499,-0.015975124,0.306741619,0.616210074,-0.632065074
7711,-1.147663548,-0.416580354,-0.057581925,-1.181699841,-0.604434623,-1.044545554,-1.223330129,-1.177292812,0.315269022,-0.015975124,0.373362197,1.003306114,-0.578312489
7768,-1.159333153,-1.190530117,-0.348878245,-0.249467503,-0.860274494,-0.575225592,-1.178560808,-0.857198278,-0.379312403,-1.46095281,0.411456349,1.526913198,0.637112524
7772,-0.99375949,-0.429605202,0.176739966,-0.420855308,-0.070961649,-0.382025773,-1.223330129,-0.879316482,-0.379312403,-1.46095281,0.300576653,1.438412677,-0.578312489
7792,-0.664336467,-0.910933113,0.51621762,-3.16512099,0.365629496,-0.069145799,-1.320383623,-0.61904725,-0.379312403,-1.46095281,2.241482038,0.954254193,-0.207290991
7803,-1.322311037,-0.429453742,-0.078661259,-0.421096904,-0.448374201,-0.550719038,-1.223330129,-1.139585713,-0.379312403,-1.46095281,0.302050958,1.413756163,-0.578312489
7896,-1.381413172,-0.911563531,-0.721079056,-3.490608457,-0.396689898,-0.727132315,-0.996925274,-0.835080075,-0.379312403,-1.46095281,1.720307235,0.141931198,-0.980864141
7975,-1.350902048,-1.84679323,-0.06243218,-2.068910627,-0.96161768,-1.032292277,-1.437743202,-0.583870429,0.246668053,-0.298754893,6.850229569,0.221602617,-0.623884886
7997,-1.387320033,-0.428098365,-0.235290748,-0.491705731,-0.096857284,-0.707159025,-1.223330129,-1.139585713,-0.379312403,-1.46095281,0.313250041,0.530827671,-0.578312489
8025,-1.6063901,-0.412080173,-0.548549726,-1.189597782,-0.483738076,-1.032292277,-1.223330129,-1.11746751,-0.379312403,-1.46095281,0.375327406,0.090933111,-0.980864141
8038,-1.149381072,-0.430072915,-0.136519012,-0.490960319,-0.096857284,-0.694905748,-1.223330129,-1.161703917,-0.379312403,-1.46095281,0.308133457,1.053089744,-0.980864141
8073,-1.490961874,-0.414046596,-0.391920237,-1.187982441,-0.483738076,-0.875852289,-1.223330129,-1.139585713,-0.379312403,-1.46095281,0.372901093,0.628579319,-0.578312489
8105,-1.340690078,-0.910859064,-0.563807149,-3.606822668,-0.009809106,-0.731665579,-0.996925274,-0.574810843,-0.379312403,-1.46095281,2.24682883,0.164425979,0.226790815
8274,-0.671472287,-0.224422296,0.146827387,0.766633322,-0.827160478,-0.91261212,-0.328743148,-0.894905377,-0.856679962,1.062560193,0.407437352,0.050661715,-0.980864141
8275,-0.67401763,-0.08584961,0.162205263,0.973489312,-0.820867029,-0.550719038,-0.35144759,-0.879316482,-1.124039865,-0.620250561,0.307862209,-1.11244809,-0.980864141
8631,-0.52058976,2.387452014,-0.486877618,19.75940867,-0.767602201,-1.200985541,-0.633494317,1.343395139,-0.538146494,-0.882961736,-0.349909923,-5.554640507,-0.757032542
8635,-1.182055197,-0.431757402,-0.196785831,0.20243816,-0.866678389,-1.200985541,-0.807295219,-0.888376068,3.330737209,-0.304970661,1.290343799,0.435125419,-0.980864141
8658,-1.242910623,-0.218888121,-0.015182351,-0.175447134,-0.931417884,-1.200985541,-1.223330129,-0.888376068,-0.035901959,-0.304970661,1.540721135,0.826751384,-0.58675503
8785,-1.130092716,-0.462026715,0.081983341,-0.489444955,-0.604434623,-0.871319026,-1.223330129,-1.177292812,0.214327983,-0.015975124,0.306981893,1.333389467,-0.632065074
8842,-0.793789156,-0.910933124,0.484136882,-2.242023875,0.314835964,-0.225585786,-1.320383623,0.294469666,0.432541509,-0.906000399,2.2572983,1.364191134,-0.175760837
8908,-1.092626536,-0.428175129,0.234597719,-0.491534012,0.290023508,-0.237839063,-1.223330129,-1.139585713,-0.379312403,-1.46095281,0.312604809,0.773108816,-0.578312489
8914,-0.969203578,-0.910858979,0.475303637,-3.424075576,0.384809302,0.062787634,-1.320383623,-1.139585713,-0.379312403,-1.46095281,2.370901802,0.838674316,-0.578312489
