PT,Chi2v,MaxAbsPartialCharge,VSA_EState7,MolLogP,BCUT2D_MRHI,MolMR,RingCount,TPSA,Kappa3,SlogP_VSA6,PEOE_VSA7,VSA_EState4,Binding Energy,SMR_VSA7,SlogP_VSA3,HeavyAtomMolWt,MinEStateIndex,BCUT2D_LOGPHI,BCUT2D_MRLOW,Kappa2,SMR_VSA5,EState_VSA1,EState_VSA4
3.640105731,2.831745785,0.50410704,6.995509023,1.9295,6.036802648,55.2796,1,66.76,3.34187281,47.65759515,30.72490205,0.609586168,-28.1005,47.65759515,9.531400138,196.117,-0.425778035,2.107248652,-0.113203341,5.046466055,6.9237372,5.783244946,0
4.472679241,2.44473074,0.480994957,9.328052721,1.6537,6.008867652,49.0908,1,46.53,2.987277016,47.97445038,23.80116485,0.836296296,-36.256,47.97445038,9.531400138,168.107,-0.160925926,2.059617808,-0.110007921,4.303970001,0,0,5.57310453
7.748970461,6.811305134,0.457445862,20.18096965,4.9203,5.690032357,103.5036,0,66.76,17.73617573,12.15204021,32.10410811,0,-65.7931,12.15204021,9.531400138,316.227,-0.767937217,2.100933104,-0.153047575,19.45466769,102.9192063,6.103966388,25.68328649
5.428990328,6.304209676,0.871789905,-5.475452055,-1.6281,6.021237273,85.135,2,159.74,3.91603723,35.00263936,12.49684173,-0.239897959,-19.0617,35.00263936,14.26826309,348.178,-1.711294748,2.317623873,-0.302542188,8.190335611,50.9741883,54.77309011,12.15204021
4.565512853,4.247157587,0.544733072,2.828218065,1.4076,6.051927587,76.543,2,89.46,3.939662644,54.60695665,29.8385728,0.831366613,-62.9167,65.73385964,4.794537184,270.179,-1.353320211,2.144059428,-0.25445188,6.382877229,0,11.87648502,5.563451492
3.599980365,4.419934454,0.342257914,1.774831822,0.1318,5.970228461,51.5037,2,49.41,1.29060409,0,18.75954929,0,-9.9381,0,9.589074368,180.122,-0.308472222,2.234018428,-0.147779944,3.259009422,38.7727993,0,19.38639965
3.904571893,3.527626626,0.345241847,0.540092593,-0.1563,5.94371117,55.0864,2,58.2,2.340150996,30.33183534,5.563451492,1.041527778,-91.7673,35.89528683,16.00989599,192.133,-0.436435185,2.041684866,-0.133134454,4.125446455,12.46266245,6.041840829,5.563451492
3.962314596,6.184420427,0.550171861,9.262293479,1.6862,5.634983938,88.6284,0,100.82,14.41586049,12.15204021,25.68328649,0,-18.0153,12.15204021,4.794537184,296.193,-0.999075236,2.109802516,-0.305344288,14.66772819,95.86467422,24.28120445,44.94575136
4.814168978,9.074364558,0.871610074,6.740633661,5.6661,6.245087275,120.7268,1,77.43,5.617818017,57.61191271,72.79881422,1.452587081,-55.7607,57.61191271,9.589074368,376.282,-1.39876559,2.439312677,-0.299166955,10.60383262,81.07318409,22.74064523,16.71931359
7.576836076,6.841518938,0.463108307,22.91916491,5.4591,5.894457151,111.5278,0,63.6,20.48447368,36.45612064,51.02177147,0,-41.0306,36.45612064,14.32593732,340.249,-0.92683083,2.058617979,-0.144280413,19.09188866,90.58047864,12.07327168,32.10410811
